,"ABX3 (A=Cs,Ru,FA,MA,etc.; B=Pb,Sn,Ge,etc.; X=I,Br,Cl,BF4,PF6,SCN,etc.)",,,,,,,,,,,,,,,,,,,,
Rb0.1FA0.9PbI3,FA/0.9,Rb/0.1,,Pb/1,,,I/1,,,,,,,,15.57,,,,FA/Rb,Pb,I
Rb0.15FA0.85PbI3,FA/0.85,Rb/0.15,,Pb/1,,,I/1,,,,,,,,13.3,,,,FA/Rb,Pb,I
Rb0.2FA0.8PbI3,FA/0.8,Rb/0.2,,Pb/1,,,I/1,,,,,,,,12.45,,,,FA/Rb,Pb,I
FA0.75MA0.25PbI3,FA/0.75,MA/0.25,,Pb/1,,,I/1,,,,,,1.03,21.1,15.51,,,Cui2016_14437,FA/MA,Pb,I
,FA/0.85,MA/0.15,,Pb/1,,,I/0.85,Br/0.15,,,Spiro-OMeTAD,mesoporous TiO2,,,8.8,,,,FA/MA,Pb,I/Br
,FA/1,,,Pb/1,,,I/1,,,,Spiro-OMeTAD,mesoporous TiO2,,,19.3,,,,FA,Pb,I
,FA/1,,,Pb/1,,,I/0.952,Br/0.048,,,Spiro-OMeTAD,mesoporous TiO2,1.16,24.6,20.8,,,Hagfeldt2016_1501170,FA,Pb,I/Br
,FA/1,,,Pb/1,,,I/0.909,Br/0.091,,,Spiro-OMeTAD,mesoporous TiO2,,,19.8,,,,FA,Pb,I/Br
,FA/1,,,Pb/1,,,I/0.862,Br/0.138,,,Spiro-OMeTAD,mesoporous TiO2,,,20,,,,FA,Pb,I/Br
,FA/1,,,Pb/1,,,I/0.813,Br/0.187,,,Spiro-OMeTAD,mesoporous TiO2,,,19.2,,,,FA,Pb,I/Br
,FA/1,,,Pb/1,,,I/0.729,Br/0.271,,,Spiro-OMeTAD,mesoporous TiO2,,,12.2,,,,FA,Pb,I/Br
,FA/1,,,Pb/1,,,I/0.649,Br/0.351,,,Spiro-OMeTAD,mesoporous TiO2,,,10.9,,,,FA,Pb,I/Br
,,MA/1,,Pb/1,,,I/1,,,,,,,,15.8,,,,MA,Pb,I
,Al/0.00075,MA/0.99775,,Pb/1,,,I/1,,,,,,,,16.4,,,,Al/MA,Pb,I
,Al/0.0015,MA/0.9955,,Pb/1,,,I/1,,,,,,1.09,22.3,18.2,,,Snaith2016_2892,Al/MA,Pb,I
,Al/0.003,MA/0.991,,Pb/1,,,I/1,,,,,,,,16.6,,,,Al/MA,Pb,I
,Al/0.0075,MA/0.9775,,Pb/1,,,I/1,,,,,,,,11.7,,,,Al/MA,Pb,I
,Al/0.015,MA/0.955,,Pb/1,,,I/1,,,,,,,,6.7,,,,Al/MA,Pb,I
,MA/1,,,Pb/1,,,I/1,,,,,,,,15.6,,,,MA,Pb,I
,MA/1,,,Pb/1,,,I/0.97,Br/0.03,,,,,,,16.31,,,,MA,Pb,I/Br
,MA/1,,,Pb/1,,,I/0.963,Br/0.037,,,,,,,16.75,,,Huang2017_44603,MA,Pb,I/Br
,MA/1,,,Pb/1,,,I/0.953,Br/0.047,,,,,1.064,23.52,18.02,,,,MA,Pb,I/Br
,MA/1,,,Pb/1,,,I/0.933,Br/0.067,,,,,,,17.11,,,,MA,Pb,I/Br
,MA/1,,,Pb/1,,,I/0.667,Br/0.333,,,,,,,3.83,,,,MA,Pb,I/Br
,MA/1,,,Pb/1,,,I/1,,,,,,,,10.27,,,,MA,Pb,I
,MA/1,,,Pb/0.984,Co/0.016,,I/1,,,,,,,,11.37,,,,MA,Pb/Co,I
,MA/1,,,Pb/0.969,Co/0.031,,I/1,,,,,,,,11.11,,,,MA,Pb/Co,I
,MA/1,,,Pb/0.938,Co/0.062,,I/1,,,,,,,,10.21,,,,MA,Pb/Co,I
,MA/1,,,Pb/0.875,Co/0.125,,I/1,,,,,,,,8.66,,,,MA,Pb/Co,I
,MA/1,,,Pb/0.75,Co/0.25,,I/1,,,,,,,,4.14,,,,MA,Pb/Co,I
,MA/1,,,Pb/0.984,Cu/0.016,,I/1,,,,,,,,10.14,,,,MA,Pb/Cu,I
,MA/1,,,Pb/0.969,Cu/0.031,,I/1,,,,,,,,8.37,,,,MA,Pb/Cu,I
,MA/1,,,Pb/0.938,Cu/0.062,,I/1,,,,,,,,6.57,,,,MA,Pb/Cu,I
,MA/1,,,Pb/0.875,Cu/0.125,,I/1,,,,,,,,5.46,,,,MA,Pb/Cu,I
,MA/1,,,Pb/0.75,Cu/0.25,,I/1,,,,,,,,8.29,,,,MA,Pb/Cu,I
,MA/1,,,Pb/0.984,Fe/0.016,,I/1,,,,,,,,1.78,,,,MA,Pb/Fe,I
,MA/1,,,Pb/0.969,Fe/0.031,,I/1,,,,,,,,1.75,,,,MA,Pb/Fe,I
,MA/1,,,Pb/0.938,Fe/0.062,,I/1,,,,,,,,2.29,,,,MA,Pb/Fe,I
,MA/1,,,Pb/0.875,Fe/0.125,,I/1,,,,,,,,0.01,,,,MA,Pb/Fe,I
,MA/1,,,Pb/0.75,Fe/0.25,,I/1,,,,,,,,0.22,,,,MA,Pb/Fe,I
,MA/1,,,Pb/0.984,Mg/0.016,,I/1,,,,,,,,9.37,,,,MA,Pb/Mg,I
,MA/1,,,Pb/0.969,Mg/0.031,,I/1,,,,,,,,9.71,,,,MA,Pb/Mg,I
,MA/1,,,Pb/0.938,Mg/0.062,,I/1,,,,,,,,7.11,,,Belcher2017_236,MA,Pb/Mg,I
,MA/1,,,Pb/0.875,Mg/0.125,,I/1,,,,,,,,1.74,,,,MA,Pb/Mg,I
,MA/1,,,Pb/0.75,Mg/0.25,,I/1,,,,,,,,0.76,,,,MA,Pb/Mg,I
,MA/1,,,Pb/0.984,Mn/0.016,,I/1,,,,,,,,10.38,,,,MA,Pb/Mn,I
,MA/1,,,Pb/0.969,Mn/0.031,,I/1,,,,,,,,10.02,,,,MA,Pb/Mn,I
,MA/1,,,Pb/0.938,Mn/0.062,,I/1,,,,,,,,7.17,,,,MA,Pb/Mn,I
,MA/1,,,Pb/0.875,Mn/0.125,,I/1,,,,,,,,4.3,,,,MA,Pb/Mn,I
,MA/1,,,Pb/0.75,Mn/0.25,,I/1,,,,,,,,0.68,,,,MA,Pb/Mn,I
,MA/1,,,Pb/0.984,Ni/0.016,,I/1,,,,,,,,9.95,,,,MA,Pb/Ni,I
,MA/1,,,Pb/0.969,Ni/0.031,,I/1,,,,,,,,8.53,,,,MA,Pb/Ni,I
,MA/1,,,Pb/0.938,Ni/0.062,,I/1,,,,,,,,6.01,,,,MA,Pb/Ni,I
,MA/1,,,Pb/0.875,Ni/0.125,,I/1,,,,,,,,0.06,,,,MA,Pb/Ni,I
,MA/1,,,Pb/0.75,Ni/0.25,,I/1,,,,,,,,0.04,,,,MA,Pb/Ni,I
,MA/1,,,Pb/0.984,Sn/0.016,,I/1,,,,,,,,2.32,,,,MA,Pb/Sn,I
,MA/1,,,Pb/0.969,Sn/0.031,,I/1,,,,,,,,5.3,,,,MA,Pb/Sn,I
,MA/1,,,Pb/0.938,Sn/0.062,,I/1,,,,,,,,2.38,,,,MA,Pb/Sn,I
,MA/1,,,Pb/0.875,Sn/0.125,,I/1,,,,,,,,4.89,,,,MA,Pb/Sn,I
,MA/1,,,Pb/0.75,Sn/0.25,,I/1,,,,,,,,9.25,,,,MA,Pb/Sn,I
,MA/1,,,Pb/0.984,Sr/0.016,,I/1,,,,,,,,10.81,,,,MA,Pb/Sr,I
,MA/1,,,Pb/0.969,Sr/0.031,,I/1,,,,,,,,9.29,,,,MA,Pb/Sr,I
,MA/1,,,Pb/0.938,Sr/0.062,,I/1,,,,,,,,5.58,,,,MA,Pb/Sr,I
,MA/1,,,Pb/0.875,Sr/0.125,,I/1,,,,,,,,1.16,,,,MA,Pb/Sr,I
,MA/1,,,Pb/0.75,Sr/0.25,,I/1,,,,,,,,0.21,,,,MA,Pb/Sr,I
,MA/1,,,Pb/0.984,Zn/0.016,,I/1,,,,,,,,10.62,,,,MA,Pb/Zn,I
,MA/1,,,Pb/0.969,Zn/0.031,,I/1,,,,,,,,10.41,,,,MA,Pb/Zn,I
,MA/1,,,Pb/0.938,Zn/0.062,,I/1,,,,,,,,7.69,,,,MA,Pb/Zn,I
,MA/1,,,Pb/0.875,Zn/0.125,,I/1,,,,,,,,9.88,,,,MA,Pb/Zn,I
,MA/1,,,Pb/0.75,Zn/0.25,,I/1,,,,,,,,6.04,,,,MA,Pb/Zn,I
,MA/1,,,Sn/1,,,I/1,,,,,,0.68,16.6,5.23,,,,MA,Sn,I
,MA/1,,,Sn/1,,,I/0.667,Br/0.333,,,,,0.77,13.96,5.48,,,,MA,Sn,I/Br
,MA/1,,,Sn/1,,,I/0.333,Br/0.667,,,,,0.82,11.73,5.73,,,Kanatzidis2014_489,MA,Sn,I/Br
,MA/1,,,Sn/1,,,,Br/1.0,,,,,0.88,7.93,4.27,,,,MA,Sn,Br
FASnI3,FA/1,,,Sn/1,,,I/1,,,,,,0.457,22.07,6.07,,,Yan2016_9333,FA,Sn,I
CsGeI3,Cs/1,,,Ge/1,,,I/1,,,,,,0.074,5.7,0.11,,,,Cs,Ge,I
MAGeI3,MA/1,,,Ge/1,,,I/1,,,,,,0.15,4,0.2,,,Mhaisalkar2015_23829,MA,Ge,I
FAPb(I0.6Br0.4)3,FA/1,,,Pb/1,,,I/0.6,Br/0.4,,,Spiro-OMeTAD,SnO2/PCBM,,,5.8,,,,FA,Pb,I/Br
FA0.9Cs0.1(I0.6Br0.4)3,FA/0.9,Cs/0.17,,Pb/1,,,I/0.6,Br/0.4,,1.7,Spiro-OMeTAD,SnO2/PCBM,,,12.1,,,,FA/Cs,Pb,I/Br
FA0.875Cs0.125(I0.6Br0.4)3,FA/0.875,Cs/0.125,,Pb/1,,,I/0.6,Br/0.4,,,Spiro-OMeTAD,SnO2/PCBM,,,11.8,,,,FA/Cs,Pb,I/Br
FA0.85Cs0.15(I0.6Br0.4)3,FA/0.85,Cs/0.15,,Pb/1,,,I/0.6,Br/0.4,,,Spiro-OMeTAD,SnO2/PCBM,,,13,,,,FA/Cs,Pb,I/Br
FA0.83Cs0.17Pb(I0.6Br0.4)3,FA/0.83,Cs/0.17,,Pb/1,,,I/0.6,Br/0.4,,1.74,Spiro-OMeTAD,SnO2/PCBM,1.2,19.3,14.7,,,Snaith2016_151,FA/Cs,Pb,I/Br
FA0.825Cs0.175(I0.6Br0.4)3,FA/0.825,Cs/0.175,,Pb/1,,,I/0.6,Br/0.4,,,Spiro-OMeTAD,SnO2/PCBM,,,12.7,,,,FA/Cs,Pb,I/Br
FA0.8Cs0.2(I0.6Br0.4)3,FA/0.83,Cs/0.2,,Pb/1,,,I/0.6,Br/0.4,,1.74,Spiro-OMeTAD,SnO2/PCBM,,,10.5,,,,FA/Cs,Pb,I/Br
FA0.7Cs0.3(I0.6Br0.4)3,FA/0.7,Cs/0.3,,Pb/1,,,I/0.6,Br/0.4,,1.75,Spiro-OMeTAD,SnO2/PCBM,,,9.6,,,,FA/Cs,Pb,I/Br
FA0.6Cs0.4(I0.6Br0.4)3,FA/0.6,Cs/0.4,,Pb/1,,,I/0.6,Br/0.4,,1.78,Spiro-OMeTAD,SnO2/PCBM,,,8.9,,,,FA/Cs,Pb,I/Br
FA0.5Cs0.5(I0.6Br0.4)3,FA/0.5,Cs/0.5,,Pb/1,,,I/0.6,Br/0.4,,1.8,Spiro-OMeTAD,SnO2/PCBM,,,7.8,,,,FA/Cs,Pb,I/Br
FAPbI3,FA/1,,,Pb/1,,,I/1,,,,,,0.809,21.4,10.4,,,,FA,Pb,I
Cs0.2FA0.8PbI3,FA/0.8,Cs/0.2,,Pb/1,,,I/1,,,,,,1.017,21.5,15.69,,,Gratzel16_656,FA/Cs,Pb,I
Cs0.2FA0.8PBI2.84Br0.16,FA/0.8,Cs/0.2,,Pb/1,,,I/0.947,Br/0.053,,,,,1.073,21.9,17.35,,,,FA/Cs,Pb,I/Br
,FA/1,,,Pb/1,,,I/1,,,,,,0.99,13.5,4.8,,,,FA,Pb,I
,FA/0.833,MA/0.167,,Pb/1,,,I/1,,,,,,0.92,21.5,12.1,,,,FA/MA,Pb,I
,FA/0.667,MA/0.333,,Pb/1,,,I/1,,,,,,0.97,22.7,13.9,,,,FA/MA,Pb,I
,FA/0.50,MA/0.50,,Pb/1,,,I/1,,,,,,0.96,19.6,12.8,,,,FA/MA,Pb,I
,FA/0.333,MA/0.667,,Pb/1,,,I/1,,,,,,1,22.3,14.3,,,,FA/MA,Pb,I
,FA/0.167,MA/0.167,,Pb/1,,,I/1,,,,,,1.05,18.8,11.8,,,,FA/MA,Pb,I
,,MA/1,,Pb/1,,,I/1,,,,,,0.91,21.2,10.3,,,,MA,Pb,I
,FA/1,,,Pb/1,,,I/0.833,Br/0.167,,,,,1.2,14.3,9.6,,,,FA,Pb,I
,FA/0.833,MA/0.167,,Pb/1,,,I/0.833,Br/0.167,,,,,1.1,22.7,17.4,,,,FA/MA,Pb,I/Br
,FA/0.667,MA/0.333,,Pb/1,,,I/0.833,Br/0.167,,,,,1.14,23.7,20.7,,,,FA/MA,Pb,I/Br
,FA/0.50,MA/0.50,,Pb/1,,,I/0.833,Br/0.167,,,,,1.04,20.4,12.9,,,,FA/MA,Pb,I/Br
,FA/0.333,MA/0.667,,Pb/1,,,I/0.833,Br/0.167,,,,,0.91,18.7,11,,,,FA/MA,Pb,I/Br
,FA/0.167,MA/0.167,,Pb/1,,,I/0.833,Br/0.167,,,,,1.04,22.7,16,,,Hagfeldt15_1706,FA/MA,Pb,I/Br
,,MA/1,,Pb/1,,,I/0.833,Br/0.167,,,,,1.1,18.3,13.2,,,,MA,Pb,I/Br
,FA/1,,,Pb/1,,,I/0.667,Br/0.333,,,,,0.99,3.9,1.9,,,,FA,Pb,I/Br
,FA/0.833,MA/0.167,,Pb/1,,,I/0.667,Br/0.333,,,,,1.18,19.1,14.7,,,,FA/MA,Pb,I/Br
,FA/0.667,MA/0.333,,Pb/1,,,I/0.667,Br/0.333,,,,,1.15,21.4,18.5,,,,FA/MA,Pb,I/Br
,FA/0.50,MA/0.50,,Pb/1,,,I/0.667,Br/0.333,,,,,1.1,2,15.3,,,,FA/MA,Pb,I/Br
,FA/0.333,MA/0.667,,Pb/1,,,I/0.667,Br/0.333,,,,,1.17,20.4,17.5,,,,FA/MA,Pb,I/Br
,FA/0.167,MA/0.167,,Pb/1,,,I/0.667,Br/0.333,,,,,1.12,16.7,12.2,,,,FA/MA,Pb,I/Br
,,MA/1,,Pb/1,,,I/0.667,Br/0.333,,,,,0.96,13.2,8.5,,,,MA,Pb,I/Br
,FA/1,,,Pb/1,,,I/0.5,Br/0.5,,,,,1.06,7.1,3.7,,,,FA,Pb,I/Br
,FA/0.833,MA/0.167,,Pb/1,,,I/0.5,Br/0.5,,,,,1.15,15.6,11.4,,,,FA/MA,Pb,I/Br
,FA/0.667,MA/0.333,,Pb/1,,,I/0.5,Br/0.5,,,,,1.11,15.3,11.7,,,,FA/MA,Pb,I/Br
,FA/0.50,MA/0.50,,Pb/1,,,I/0.5,Br/0.5,,,,,1.09,15.5,11.9,,,,FA/MA,Pb,I/Br
,FA/0.333,MA/0.667,,Pb/1,,,I/0.5,Br/0.5,,,,,1.13,13.9,10.7,,,,FA/MA,Pb,I/Br
,FA/0.167,MA/0.167,,Pb/1,,,I/0.5,Br/0.5,,,,,1.07,10.3,8.7,,,,FA/MA,Pb,I/Br
,,MA/1,,Pb/1,,,I/0.5,Br/0.5,,,,,1.12,6.6,8.6,,,,MA,Pb,I/Br
,FA/1,,,Pb/1,,,I/0.333,Br/0.667,,,,,1.14,12.8,7.5,,,,FA,Pb,I/Br
,FA/0.833,MA/0.167,,Pb/1,,,I/0.333,Br/0.667,,,,,0.98,11.1,5.8,,,,FA/MA,Pb,I/Br
,FA/0.667,MA/0.333,,Pb/1,,,I/0.333,Br/0.667,,,,,1,9.5,5.6,,,,FA/MA,Pb,I/Br
,FA/0.50,MA/0.50,,Pb/1,,,I/0.333,Br/0.667,,,,,1.03,12.6,7.9,,,,FA/MA,Pb,I/Br
,FA/0.333,MA/0.667,,Pb/1,,,I/0.333,Br/0.667,,,,,1.08,9,6.2,,,,FA/MA,Pb,I/Br
,FA/0.167,MA/0.167,,Pb/1,,,I/0.333,Br/0.667,,,,,0.94,5.1,3.5,,,,FA/MA,Pb,I/Br
,,MA/1,,Pb/1,,,I/0.333,Br/0.667,,,,,1.1,4,6.3,,,,MA,Pb,I/Br
,FA/1,,,Pb/1,,,I/0.167,Br/0.833,,,,,1.06,9.7,5,,,,FA,Pb,I/Br
,FA/0.833,MA/0.167,,Pb/1,,,I/0.167,Br/0.833,,,,,0.88,8.8,3.3,,,,FA/MA,Pb,I/Br
,FA/0.667,MA/0.333,,Pb/1,,,I/0.167,Br/0.833,,,,,0.92,7.2,3.4,,,,FA/MA,Pb,I/Br
,FA/0.50,MA/0.50,,Pb/1,,,I/0.167,Br/0.833,,,,,0.98,6.9,3.9,,,,FA/MA,Pb,I/Br
,FA/0.333,MA/0.667,,Pb/1,,,I/0.167,Br/0.833,,,,,0.99,4.4,2.9,,,,FA/MA,Pb,I/Br
,FA/0.167,MA/0.167,,Pb/1,,,I/0.167,Br/0.833,,,,,0.95,2.8,2.3,,,,FA/MA,Pb,I/Br
,,MA/1,,Pb/1,,,I/0.167,Br/0.833,,,,,1.07,3,3.5,,,,MA,Pb,I/Br
,FA/1,,,Pb/1,,,,Br/1.0,,,,,1.14,7.5,5,,,,FA,Pb,Br
,FA/0.833,MA/0.167,,Pb/1,,,,Br/1.0,,,,,1.42,7,6.5,,,,FA/MA,Pb,Br
,FA/0.667,MA/0.333,,Pb/1,,,,Br/1.0,,,,,1.35,7,5.5,,,,FA/MA,Pb,Br
,FA/0.50,MA/0.50,,Pb/1,,,,Br/1.0,,,,,1.39,7,7.1,,,,FA/MA,Pb,Br
,FA/0.333,MA/0.667,,Pb/1,,,,Br/1.0,,,,,1.35,6.4,6.4,,,,FA/MA,Pb,Br
,FA/0.167,MA/0.167,,Pb/1,,,,Br/1.0,,,,,1.37,6.3,7.1,,,,FA/MA,Pb,Br
,,MA/1,,Pb/1,,,,Br/1.0,,,,,1.41,5.9,5.6,,,,MA,Pb,Br
,,MA/1.0,,Pb/0.75,Sn/0.25,,I/1,,,,,,0.82,22.44,14.35,,,Jen16_8990,MA,Pb/Sn,I
,FA/0.25,MA/0.75,,Pb/0.75,Sn/0.25,,I/1,,,,,,0.82,22.52,13.87,,,,FA/MA,Pb/Sn,I
,FA/0.50,MA/0.50,,Pb/0.75,Sn/0.25,,I/1,,,,,,0.78,23.03,14.19,,,,FA/MA,Pb/Sn,I
,FA/0.75,MA/0.25,,Pb/0.75,Sn/0.25,,I/1,,,,,,0.7,16.55,7.53,,,,FA/MA,Pb/Sn,I
,FA/1.0,,,Pb/0.75,Sn/0.25,,I/1,,,,,,0.75,18.08,7.32,,,,FA,Pb/Sn,I
,MA/1.0,,,Pb/1.0,,,I/1,,,,,,0.92,19.6,14.07,,,,MA,Pb,I
,MA/1.0,,,Pb/0.75,Sn/0.25,,I/1,,,,,,0.82,22.44,14.35,,,,MA,Pb/Sn,I
,MA/1.0,,,Pb/0.50,Sn/0.50,,I/1,,,,,,0.52,11.07,3.68,,,,MA,Pb/Sn,I
,MA/1.0,,,Pb/0.25,Sn/0.75,,I/1,,,,,,0.36,11.12,2.36,,,,MA,Pb/Sn,I
,MA/1.0,,,,Sn/1.0,,I/1,,,,,,0.15,4.52,0.26,,,,MA,Sn,I
,MA/0.5,FA/0.5,,Pb/0.50,Sn/0.50,,I/1.0,,,,,,0.078,25.69,14.01,,,Jen17_392,MA/FA,Pb/Sn,I
,MA/1.0,,,Pb/0.833,Sr/0.167,,I/0.833,Cl/0.167,,,,,1.05,20.18,15.9,,,Jen17_1606608,MA,Pb/Sr,I/Cl
,MA/1.0,,,Pb/1.0,,,I/1.0,,,,,,1.09,19.3,16,,,10.1021/acs.nanolett.7b00847,MA,Pb,I
,MA/0.995,Ag/0.005,,Pb/1.0,,,I/1.0,,,,,,1.1,20.6,18.4,,,,MA/Ag,Pb,I
,MA/0.990,Ag/0.01,,Pb/1.0,,,I/1.0,,,,,,1.1,20.3,17.9,,,,MA/Ag,Pb,I
,MA/0.975,Ag/0.025,,Pb/1.0,,,I/1.0,,,,,,1.05,19.6,15.2,,,,MA/Ag,Pb,I
,MA/0.95,Ag/0.05,,Pb/1.0,,,I/1.0,,,,,,1,8.9,13,,,,MA/Ag,Pb,I
,MA/1.0,,,Pb/1.0,,,I/1.0,,,,,,0.76,11.65,3.85,,,Mosca13_4613,MA,Pb,I
,MA/1.0,,,Pb/1.0,,,I/0.6,Cl/0.4,,,,,0.76,16.36,6.15,,,,MA,Pb,I/Cl
,MA/1.0,,,Pb/1.0,,,I/0.333,Cl/0.667,,,,,0.75,9.23,3.85,,,,MA,Pb,I/Cl
